,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_solver,param_penalty,param_max_iter,param_l1_ratio,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,fs_model,85.63141856193542,9.310588065913366,0.0213995456695556,0.0012131814770111,0.000406,saga,elasticnet,900,0.9,0.01,"{'tol': 0.000406, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 900, 'l1_ratio': 0.9, 'C': 0.01}",0.4521055067098565,0.4421296296296296,0.4268518518518518,0.4625,0.4611111111111111,0.4489396198604899,0.0132385604268952,3
1,fs_model,0.0474772453308105,0.0089787829091146,0.0,0.0,0.0001049999999999,newton-cg,elasticnet,800,0.9,0.1,"{'tol': 0.00010499999999999999, 'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 800, 'l1_ratio': 0.9, 'C': 0.1}",,,,,,,,5
2,fs_model,276.9580267906189,14.494444803227715,0.0163677215576171,0.0010183692240101,0.000468,saga,elasticnet,1000,0.9,0.1,"{'tol': 0.000468, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 1000, 'l1_ratio': 0.9, 'C': 0.1}",0.6931975937066173,0.6819444444444445,0.6925925925925925,0.6888888888888889,0.6949074074074074,0.6903061854079902,0.0046192333782909,1
3,fs_model,208.7005398273468,7.228409461070269,0.019460105895996,0.0013272206399485,0.000732,saga,elasticnet,800,0.9,0.1,"{'tol': 0.000732, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 800, 'l1_ratio': 0.9, 'C': 0.1}",0.6904211013419713,0.6805555555555556,0.6939814814814815,0.6814814814814815,0.6902777777777778,0.6873434795276536,0.0053401098328775,2
4,fs_model,14.400931930541992,0.426225938182673,0.0215351104736328,0.0057302021495987,0.000565,saga,elasticnet,500,0.5,0.001,"{'tol': 0.000565, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 500, 'l1_ratio': 0.5, 'C': 0.001}",0.1115224433132808,0.1148148148148148,0.1203703703703703,0.1189814814814814,0.1166666666666666,0.1164711553293228,0.0031233653173233,4
5,fs_model,0.0489690780639648,0.0046317566829767,0.0,0.0,0.0009839999999999,liblinear,elasticnet,900,0.7,1.0,"{'tol': 0.0009839999999999998, 'solver': 'liblinear', 'penalty': 'elasticnet', 'max_iter': 900, 'l1_ratio': 0.7, 'C': 1}",,,,,,,,5
6,fs_model,0.0371543407440185,0.0094438964082215,0.0,0.0,0.000745,newton-cg,elasticnet,100,0.5,0.001,"{'tol': 0.000745, 'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 100, 'l1_ratio': 0.5, 'C': 0.001}",,,,,,,,5
7,fs_model,0.0359819412231445,0.0034369461577224,0.0,0.0,0.000313,lbfgs,l1,200,0.5,10.0,"{'tol': 0.000313, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 200, 'l1_ratio': 0.5, 'C': 10}",,,,,,,,5
8,fs_model,0.0334067344665527,0.0107596833199772,0.0,0.0,0.000627,lbfgs,l1,100,0.7,1.0,"{'tol': 0.000627, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 100, 'l1_ratio': 0.7, 'C': 1}",,,,,,,,5
9,fs_model,0.0294426918029785,0.0101038818538348,0.0,0.0,0.000887,lbfgs,l1,400,0.1,10.0,"{'tol': 0.000887, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 400, 'l1_ratio': 0.1, 'C': 10}",,,,,,,,5
0,shuffled_fs_model,193.1047516822815,90.21898220403163,0.0207466125488281,0.001524401937868,0.000406,saga,elasticnet,900,0.9,0.01,"{'tol': 0.000406, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 900, 'l1_ratio': 0.9, 'C': 0.01}",0.0166589541878759,0.0208333333333333,0.0074074074074074,0.0069444444444444,0.0143518518518518,0.0132391982449826,0.0053709836395313,1
1,shuffled_fs_model,0.0218110084533691,0.0008681616226744,0.0,0.0,0.0001049999999999,newton-cg,elasticnet,800,0.9,0.1,"{'tol': 0.00010499999999999999, 'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 800, 'l1_ratio': 0.9, 'C': 0.1}",,,,,,,,5
2,shuffled_fs_model,290.18052129745485,48.967329556036326,0.0204824447631835,0.0017646358178474,0.000468,saga,elasticnet,1000,0.9,0.1,"{'tol': 0.000468, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 1000, 'l1_ratio': 0.9, 'C': 0.1}",0.0083294770939379,0.0083333333333333,0.0138888888888888,0.012037037037037,0.0134259259259259,0.0112029324558246,0.0024225250141697,3
3,shuffled_fs_model,234.69440932273864,41.00236898012996,0.0209706306457519,0.0021863924638557,0.000732,saga,elasticnet,800,0.9,0.1,"{'tol': 0.000732, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 800, 'l1_ratio': 0.9, 'C': 0.1}",0.0083294770939379,0.0087962962962962,0.0138888888888888,0.012037037037037,0.0134259259259259,0.0112955250484172,0.0023176526383788,2
4,shuffled_fs_model,1.710066604614258,0.156485649739988,0.0245830059051513,0.0058329567596534,0.000565,saga,elasticnet,500,0.5,0.001,"{'tol': 0.000565, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 500, 'l1_ratio': 0.5, 'C': 0.001}",0.0101804720037019,0.0101851851851851,0.0101851851851851,0.0074074074074074,0.0101851851851851,0.0096286869933329,0.0011106412930484,4
5,shuffled_fs_model,0.0300077438354492,0.003902220605326,0.0,0.0,0.0009839999999999,liblinear,elasticnet,900,0.7,1.0,"{'tol': 0.0009839999999999998, 'solver': 'liblinear', 'penalty': 'elasticnet', 'max_iter': 900, 'l1_ratio': 0.7, 'C': 1}",,,,,,,,5
6,shuffled_fs_model,0.0270962715148925,0.0052311002290999,0.0,0.0,0.000745,newton-cg,elasticnet,100,0.5,0.001,"{'tol': 0.000745, 'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 100, 'l1_ratio': 0.5, 'C': 0.001}",,,,,,,,5
7,shuffled_fs_model,0.0299465656280517,0.0079861985066343,0.0,0.0,0.000313,lbfgs,l1,200,0.5,10.0,"{'tol': 0.000313, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 200, 'l1_ratio': 0.5, 'C': 10}",,,,,,,,5
8,shuffled_fs_model,0.0254778861999511,0.0027549743627584,0.0,0.0,0.000627,lbfgs,l1,100,0.7,1.0,"{'tol': 0.000627, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 100, 'l1_ratio': 0.7, 'C': 1}",,,,,,,,5
9,shuffled_fs_model,0.0253087997436523,0.0017345201411857,0.0,0.0,0.000887,lbfgs,l1,400,0.1,10.0,"{'tol': 0.000887, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 400, 'l1_ratio': 0.1, 'C': 10}",,,,,,,,5
0,aligned_model,56.47582230567932,2.2722332418559565,0.0187999725341796,0.0020249915992497,0.000406,saga,elasticnet,900,0.9,0.01,"{'tol': 0.000406, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 900, 'l1_ratio': 0.9, 'C': 0.01}",0.4155483572420176,0.3888888888888889,0.3574074074074074,0.4106481481481481,0.4032407407407407,0.3951467084854406,0.0209066994703351,3
1,aligned_model,0.0395859718322753,0.0023278703678633,0.0,0.0,0.0001049999999999,newton-cg,elasticnet,800,0.9,0.1,"{'tol': 0.00010499999999999999, 'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 800, 'l1_ratio': 0.9, 'C': 0.1}",,,,,,,,5
2,aligned_model,203.85776882171632,4.837484721890017,0.0198387622833251,0.0028913649100567,0.000468,saga,elasticnet,1000,0.9,0.1,"{'tol': 0.000468, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 1000, 'l1_ratio': 0.9, 'C': 0.1}",0.6774641369736233,0.6662037037037037,0.6768518518518518,0.6791666666666667,0.6837962962962963,0.6766965310984284,0.0057830961541702,1
3,aligned_model,149.97944741249086,3.7699825088610384,0.0193917274475097,0.002373221546667,0.000732,saga,elasticnet,800,0.9,0.1,"{'tol': 0.000732, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 800, 'l1_ratio': 0.9, 'C': 0.1}",0.6732993984266543,0.6643518518518519,0.675,0.674537037037037,0.6787037037037037,0.6731783982038494,0.0047668793776932,2
4,aligned_model,7.400747776031494,0.3972513488483388,0.0199155807495117,0.0046894398064569,0.000565,saga,elasticnet,500,0.5,0.001,"{'tol': 0.000565, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 500, 'l1_ratio': 0.5, 'C': 0.001}",0.1073577047663118,0.1055555555555555,0.1138888888888888,0.1074074074074074,0.112037037037037,0.1092493187310401,0.0031594845059103,4
5,aligned_model,0.0363326549530029,0.0044636411358088,0.0,0.0,0.0009839999999999,liblinear,elasticnet,900,0.7,1.0,"{'tol': 0.0009839999999999998, 'solver': 'liblinear', 'penalty': 'elasticnet', 'max_iter': 900, 'l1_ratio': 0.7, 'C': 1}",,,,,,,,5
6,aligned_model,0.0269463062286376,0.0028511780632936,0.0,0.0,0.000745,newton-cg,elasticnet,100,0.5,0.001,"{'tol': 0.000745, 'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 100, 'l1_ratio': 0.5, 'C': 0.001}",,,,,,,,5
7,aligned_model,0.029012393951416,0.010700237443309,0.0,0.0,0.000313,lbfgs,l1,200,0.5,10.0,"{'tol': 0.000313, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 200, 'l1_ratio': 0.5, 'C': 10}",,,,,,,,5
8,aligned_model,0.0226656913757324,0.0068881694673898,0.0,0.0,0.000627,lbfgs,l1,100,0.7,1.0,"{'tol': 0.000627, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 100, 'l1_ratio': 0.7, 'C': 1}",,,,,,,,5
9,aligned_model,0.0213804244995117,0.0092599107318846,0.0,0.0,0.000887,lbfgs,l1,400,0.1,10.0,"{'tol': 0.000887, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 400, 'l1_ratio': 0.1, 'C': 10}",,,,,,,,5
0,shuffled_aligned_model,127.98705687522887,56.790520343126055,0.0237008094787597,0.0022003470660973,0.000406,saga,elasticnet,900,0.9,0.01,"{'tol': 0.000406, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 900, 'l1_ratio': 0.9, 'C': 0.01}",0.0087922258213789,0.0180555555555555,0.0069444444444444,0.0087962962962962,0.0097222222222222,0.0104621488679795,0.0039024420238495,3
1,shuffled_aligned_model,0.0161682605743408,0.0002040776469275,0.0,0.0,0.0001049999999999,newton-cg,elasticnet,800,0.9,0.1,"{'tol': 0.00010499999999999999, 'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 800, 'l1_ratio': 0.9, 'C': 0.1}",,,,,,,,5
2,shuffled_aligned_model,158.38786420822143,21.742826716638984,0.023393440246582,0.0035349374017934,0.000468,saga,elasticnet,1000,0.9,0.1,"{'tol': 0.000468, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 1000, 'l1_ratio': 0.9, 'C': 0.1}",0.0097177232762609,0.0083333333333333,0.0129629629629629,0.0129629629629629,0.011574074074074,0.0111102113219188,0.001829241387046,2
3,shuffled_aligned_model,115.04028792381288,13.257801816671838,0.0241856098175048,0.0011340069716451,0.000732,saga,elasticnet,800,0.9,0.1,"{'tol': 0.000732, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 800, 'l1_ratio': 0.9, 'C': 0.1}",0.0097177232762609,0.0087962962962962,0.0148148148148148,0.0129629629629629,0.0125,0.011758359470067,0.0022036802783549,1
4,shuffled_aligned_model,1.1280861377716065,0.1462285210021754,0.0222330093383789,0.0033207425192549,0.000565,saga,elasticnet,500,0.5,0.001,"{'tol': 0.000565, 'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 500, 'l1_ratio': 0.5, 'C': 0.001}",0.0101804720037019,0.0101851851851851,0.0101851851851851,0.0074074074074074,0.0101851851851851,0.0096286869933329,0.0011106412930484,4
5,shuffled_aligned_model,0.0234349250793457,0.010070825683543,0.0,0.0,0.0009839999999999,liblinear,elasticnet,900,0.7,1.0,"{'tol': 0.0009839999999999998, 'solver': 'liblinear', 'penalty': 'elasticnet', 'max_iter': 900, 'l1_ratio': 0.7, 'C': 1}",,,,,,,,5
6,shuffled_aligned_model,0.0224882125854492,0.0070621284133392,0.0,0.0,0.000745,newton-cg,elasticnet,100,0.5,0.001,"{'tol': 0.000745, 'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 100, 'l1_ratio': 0.5, 'C': 0.001}",,,,,,,,5
7,shuffled_aligned_model,0.0178254127502441,0.0046573719200849,0.0,0.0,0.000313,lbfgs,l1,200,0.5,10.0,"{'tol': 0.000313, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 200, 'l1_ratio': 0.5, 'C': 10}",,,,,,,,5
8,shuffled_aligned_model,0.01666841506958,0.0023865415883924,0.0,0.0,0.000627,lbfgs,l1,100,0.7,1.0,"{'tol': 0.000627, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 100, 'l1_ratio': 0.7, 'C': 1}",,,,,,,,5
9,shuffled_aligned_model,0.0159711837768554,0.0026217243495418,0.0,0.0,0.000887,lbfgs,l1,400,0.1,10.0,"{'tol': 0.000887, 'solver': 'lbfgs', 'penalty': 'l1', 'max_iter': 400, 'l1_ratio': 0.1, 'C': 10}",,,,,,,,5
